content_id,client_id,baseline_rank,baseline_action_score,suggested_action,reason_codes,is_declining_label,trend_direction,impressions_90d,clicks_90d,sessions_90d,avg_position,ctr,engagement_rate,content_age_days,days_since_last_update,word_count
content_237f4933da0e,client_19581e27de,2675,0.7600862230625584,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,stable,10415,3,36,13.2,0.03,2.78,417,22,0.0
content_3cf8ce069ccb,client_349c41201b,2676,0.7600809578031212,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,30593,62,77,5.0,0.2,2.6,119,20,2798.0
content_a9d209bf918c,client_6208ef0f77,2677,0.7600248410104041,monitor,general_review,1,down,34983,33,98,34.3,0.09,4.08,229,104,5624.0
content_4f1621bf91a6,client_19581e27de,2678,0.7599907690569562,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,32029,157,138,2.4,0.49,0.0,112,20,3166.0
content_182cec8355bf,client_19581e27de,2679,0.7599839159207682,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,47717,100,115,6.4,0.21,4.35,119,20,3084.0
content_35a9298ccea2,client_19581e27de,2680,0.7599625220408164,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,stable,53768,185,163,6.3,0.34,2.45,126,20,3092.0
content_a861d470613f,client_6208ef0f77,2681,0.7599441618215286,refresh_and_review_ctr,position_opportunity,1,down,7738,49,95,12.8,0.63,2.11,144,104,5086.0
content_f4d42895bc37,client_349c41201b,2682,0.7599386940936375,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,32696,152,190,4.3,0.46,1.58,95,20,2832.0
content_510a85d01661,client_19581e27de,2683,0.7599309102690243,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,25896,59,53,2.9,0.23,0.0,124,20,2865.0
content_a1fb4e703a9e,client_4e07408562,2684,0.7599294919167666,monitor,general_review,1,down,15320,7,9,20.3,0.05,0.0,445,25,2481.0
content_527ffc722c4d,client_19581e27de,2685,0.7599044436041084,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,4273,7,15,8.6,0.16,6.67,313,104,0.0
content_a83598e85043,client_3fdba35f04,2686,0.7598883856084434,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,4243,6,12,6.2,0.14,16.67,310,104,1322.0
content_a8c9e9615f29,client_6208ef0f77,2687,0.7598837863512072,monitor,general_review,0,stable,19582,97,225,30.1,0.5,7.11,125,104,3204.0
content_21db40411fd7,client_6208ef0f77,2688,0.7598517406872082,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,8143,11,362,16.4,0.14,0.28,139,104,4624.0
content_236dffc73f58,client_6208ef0f77,2689,0.759756497847539,monitor,general_review,1,down,20156,25,468,29.9,0.12,0.85,223,104,5231.0
content_ed7d20b1950d,client_19581e27de,2690,0.7597402938118579,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,4636,13,14,3.3,0.28,0.0,126,104,3150.0
content_181d0c8829a8,client_4e07408562,2691,0.7597276617902494,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,up,10775,18,21,13.3,0.17,0.0,545,25,2625.0
content_fa6d9f01974d,client_6208ef0f77,2692,0.7597038527151526,monitor,general_review,1,down,15171,19,92,25.8,0.13,0.0,286,104,7583.0
content_3b36899453fe,client_4e07408562,2693,0.7597004231802721,monitor,general_review,0,up,16630,61,63,20.4,0.37,4.76,277,25,2172.0
content_3419aca9b782,client_19581e27de,2694,0.7596842579868615,refresh_and_review_ctr,position_opportunity,0,stable,70784,1033,916,2.2,1.46,1.31,112,20,3096.0
content_bf36f75616f8,client_6208ef0f77,2695,0.7596829371549954,monitor,general_review,0,stable,15857,9,51,27.1,0.06,0.0,287,104,5993.0
content_73c77ab3f545,client_19581e27de,2696,0.7596467418850873,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,3861,4,6,5.6,0.1,0.0,256,104,0.0
content_405e0325f2a4,client_19581e27de,2697,0.7596382174603175,monitor,general_review,1,down,6681,0,30,22.0,0.0,3.33,236,104,0.0
content_9fb4fd23620f,client_19581e27de,2698,0.7596273016195144,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,41716,82,110,5.8,0.2,0.91,103,20,3109.0
content_e6dcffdcb67a,client_19581e27de,2699,0.7596068609443777,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,6389,2,19,1.8,0.03,0.0,482,22,0.0
content_0f1ee515fdf5,client_19581e27de,2700,0.7595842371264505,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,stable,39292,142,129,4.9,0.36,0.78,119,20,3069.0
content_670746e86425,client_4e07408562,2701,0.7595560867808456,monitor,general_review,0,up,19802,64,102,20.4,0.32,12.75,280,25,2844.0
content_3e8478ecb744,client_6208ef0f77,2702,0.7595544318825863,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,stable,9604,34,210,18.1,0.35,0.95,236,104,5622.0
content_54f5bd380f0a,client_19581e27de,2703,0.7595471146025076,refresh_and_review_ctr,position_opportunity,1,down,4114,30,45,5.0,0.73,0.0,236,104,0.0
content_251ab03c2530,client_b4944c6ff0,2704,0.7594842780931373,refresh_and_review_ctr,position_opportunity,0,stable,79731,1239,1118,3.7,1.55,9.93,90,20,2808.0
content_bf658584d14d,client_f369cb89fc,2705,0.7594765463602108,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,31511,28,16,6.7,0.09,6.25,97,20,2657.0
content_bc0e2ca6d9cd,client_349c41201b,2706,0.75945590376684,refresh_and_review_ctr,position_opportunity,0,stable,33114,192,232,5.1,0.58,1.29,126,20,2643.0
content_4f3fb0857ca9,client_19581e27de,2707,0.7594346128473389,refresh_and_review_ctr,position_opportunity,0,stable,53012,364,381,4.1,0.69,1.05,124,20,3382.0
content_7827828b66a6,client_6208ef0f77,2708,0.7593841962472989,monitor,general_review,0,stable,14741,107,212,23.2,0.73,2.36,300,104,6169.0
content_b45b7246ed2a,client_4e07408562,2709,0.7593829998968921,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,up,9019,23,26,8.9,0.26,7.69,487,25,2731.0
content_569f6990bca4,client_3fdba35f04,2710,0.7593616819283381,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,stable,39415,164,250,8.7,0.42,4.8,117,20,1557.0
content_d6d891125266,client_e629fa6598,2711,0.7593377817426972,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,8121,9,19,7.8,0.11,5.26,490,22,0.0
content_81f2f3657309,client_6208ef0f77,2712,0.7592381538246299,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,8342,7,149,16.1,0.08,1.34,286,104,8140.0
content_186489efe6f4,client_6208ef0f77,2713,0.7592037855514707,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,stable,4792,3,17,2.3,0.06,0.0,148,104,6962.0
content_6d25ab4d537b,client_349c41201b,2714,0.7591968201160464,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,stable,35531,87,196,5.0,0.24,1.53,95,20,3033.0
content_a8a2c6189790,client_4e07408562,2715,0.7591891934359744,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,stable,8865,10,15,10.4,0.11,0.0,445,25,2509.0
content_e383b8a55047,client_19581e27de,2716,0.7591786961986461,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,stable,30406,56,262,6.9,0.18,4.2,482,20,2482.0
content_b60c70399545,client_6208ef0f77,2717,0.7591604316248498,monitor,general_review,1,down,20599,17,112,30.3,0.08,0.0,139,104,5626.0
content_141f3e49631c,client_a88a7902cb,2718,0.759151416898226,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,stable,9324,41,72,8.8,0.44,2.78,125,28,2972.0
content_c103df72e15c,client_4e07408562,2719,0.7591406433333332,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,stable,10205,17,23,11.5,0.17,0.0,487,25,2781.0
content_1a6cb171bbc4,client_4e07408562,2720,0.7591370522102174,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,9858,5,6,10.9,0.05,0.0,228,25,2854.0
content_970d78c803f0,client_19581e27de,2721,0.7590713383019874,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,3952,5,8,6.4,0.13,0.0,330,104,0.0
content_e4c789b3ac31,client_3fdba35f04,2722,0.7590238829357743,refresh_and_review_ctr,position_opportunity,1,down,4066,21,30,2.8,0.52,6.67,131,104,1497.0
content_74cd003b018c,client_6208ef0f77,2723,0.7590207048700813,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,7761,19,191,13.8,0.24,1.05,223,104,8481.0
content_58c508a45e5f,client_19581e27de,2724,0.7590064856575963,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,stable,4084,7,28,7.4,0.17,10.71,330,104,0.0
content_a2a22d305082,client_19581e27de,2725,0.7589334539116981,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,stable,25194,78,63,3.2,0.31,1.59,126,20,2751.0
content_9fed098bfd92,client_19581e27de,2726,0.7588192080915367,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,up,35308,45,65,6.8,0.13,13.85,330,20,2796.0
content_3776d54dd118,client_19581e27de,2727,0.758812575440176,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,3827,8,18,5.1,0.21,5.56,330,104,0.0
content_ea7cea4a8fd9,client_349c41201b,2728,0.7588097027308257,refresh_and_review_ctr,position_opportunity,0,stable,169602,965,1169,5.4,0.57,0.6,144,20,5179.0
content_159ea0a601d6,client_4e07408562,2729,0.7587723711584634,refresh_and_review_ctr,position_opportunity,1,down,4588,73,58,4.9,1.59,5.17,537,104,0.0
content_69881ed75d10,client_6208ef0f77,2730,0.7587197009130985,refresh_and_review_ctr,position_opportunity,0,stable,11339,66,234,19.8,0.58,3.42,300,104,6924.0
content_04131190b83e,client_6208ef0f77,2731,0.7586710824713384,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,stable,8695,4,28,17.4,0.05,0.0,287,104,6633.0
content_920260fb59ad,client_349c41201b,2732,0.7586652756379885,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,42600,83,115,6.2,0.19,0.0,119,20,3106.0
content_b6d138ee00c3,client_6208ef0f77,2733,0.758662068155262,monitor,general_review,0,stable,24665,17,195,31.7,0.07,0.51,299,104,6577.0
content_e6da8ebfca0f,client_6208ef0f77,2734,0.7586506361030413,monitor,general_review,0,stable,21855,36,362,30.9,0.16,2.49,229,104,5267.0
content_e82862dc3677,client_6208ef0f77,2735,0.7586410290648259,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,10568,26,200,19.9,0.25,1.5,300,104,8030.0
